ID,Species,Date,Volume,PPM,Loss
130,P. notatum,8/10/2020,8000,0.203,1.624
200,P. notatum,8/11/2020,8100,0.079,0.6399
390,P. notatum,8/10/2020,7780,0.073,0.56794
627,P. notatum,8/11/2020,8200,0.06,0.492
628,P. notatum,8/11/2020,6000,0.165,0.99
660,P. notatum,8/11/2020,8900,0.041,0.3649
669,P. notatum,8/11/2020,8000,0.064,0.512
670,P. notatum,8/11/2020,8490,0.067,0.56883
764,P. notatum,8/10/2020,8750,0.049,0.42875
2545,P. notatum,8/10/2020,8500,0.068,0.578
130,P. notatum,8/14/2020,2000,0.279,0.558
200,P. notatum,8/14/2020,7200,0.166,1.1952
390,P. notatum,8/14/2020,7500,0.517,3.8775
627,P. notatum,8/14/2020,7750,0.249,1.92975
628,P. notatum,8/14/2020,6750,0.172,1.161
660,P. notatum,8/14/2020,8250,0.144,1.188
669,P. notatum,8/14/2020,6000,0.172,1.032
670,P. notatum,8/14/2020,7000,0.2,1.4
764,P. notatum,8/14/2020,7000,0.254,1.778
2545,P. notatum,8/14/2020,6500,0.158,1.027
130,P. notatum,8/31/2020,6000,0.115,0.69
200,P. notatum,8/31/2020,5600,0.283,1.5848
390,P. notatum,8/31/2020,5700,0.094,0.5358
627,P. notatum,8/31/2020,4250,0.017,0.07225
628,P. notatum,8/31/2020,5800,0.073,0.4234
660,P. notatum,8/31/2020,5200,0.137,0.7124
669,P. notatum,8/31/2020,4200,0.832,3.4944
670,P. notatum,8/31/2020,6000,0.082,0.492
764,P. notatum,8/31/2020,5500,0.027,0.1485
2545,P. notatum,8/31/2020,5000,0.096,0.48
130,P. notatum,9/15/2020,5500,0.362,1.991
200,P. notatum,9/15/2020,2000,0.198,0.396
390,P. notatum,9/15/2020,2250,0.046,0.1035
627,P. notatum,9/15/2020,2500,0.062,0.155
628,P. notatum,9/15/2020,5750,0.3,1.725
660,P. notatum,9/15/2020,5500,0.086,0.473
669,P. notatum,9/15/2020,6000,0,0
670,P. notatum,9/15/2020,5800,0.063,0.3654
764,P. notatum,9/15/2020,4800,0.03,0.144
2545,P. notatum,9/15/2020,2000,0.012,0.024
130,P. notatum,9/30/2020,5400,0.21,1.134
200,P. notatum,9/30/2020,2000,0.14,0.28
390,P. notatum,9/30/2020,5400,0.066,0.3564
627,P. notatum,9/30/2020,5100,0.043,0.2193
628,P. notatum,9/30/2020,5400,0.101,0.5454
660,P. notatum,9/30/2020,5200,0.05,0.26
669,P. notatum,9/30/2020,2400,0.266,0.6384
670,P. notatum,9/30/2020,5400,0.228,1.2312
764,P. notatum,9/30/2020,2300,0.08,0.184
2545,P. notatum,9/30/2020,2750,0.061,0.16775
130,P. notatum,10/8/2020,5700,0.153,0.8721
200,P. notatum,10/8/2020,6000,0.371,2.226
390,P. notatum,10/8/2020,5000,0.063,0.315
627,P. notatum,10/8/2020,5500,0.045,0.2475
628,P. notatum,10/8/2020,4300,0.146,0.6278
660,P. notatum,10/8/2020,5500,0.066,0.363
669,P. notatum,10/8/2020,5500,0.085,0.4675
670,P. notatum,10/8/2020,5000,0.245,1.225
764,P. notatum,10/8/2020,5500,0.056,0.308
2545,P. notatum,10/8/2020,4500,0.054,0.243
130,P. notatum,11/10/2020,5250,0.395,2.07375
200,P. notatum,11/10/2020,5750,0.469,2.69675
390,P. notatum,11/10/2020,6000,0.385,2.31
627,P. notatum,11/10/2020,5000,0.342,1.71
628,P. notatum,11/10/2020,5500,0.314,1.727
660,P. notatum,11/10/2020,6000,0.95,5.7
669,P. notatum,11/10/2020,6000,0.243,1.458
670,P. notatum,11/10/2020,5800,0.716,4.1528
764,P. notatum,11/10/2020,3500,0.847,2.9645
2545,P. notatum,11/10/2020,3000,0.736,2.208
349,C,8/11/2020,8100,0.19,1.539
379,C,8/11/2020,8470,0.099,0.83853
623,C,8/11/2020,6000,0.096,0.576
719,C,8/11/2020,8750,0.044,0.385
750,C,8/10/2020,7700,0.115,0.8855
773,C,8/10/2020,7940,0.091,0.72254
859,C,8/10/2020,8500,0.067,0.5695
1800,C,8/11/2020,6100,0.099,0.6039
2921,C,8/10/2020,8700,0.091,0.7917
3436,C,8/10/2020,7590,0.116,0.88044
349,C,8/14/2020,6750,0.705,4.75875
379,C,8/14/2020,6000,0.413,2.478
623,C,8/14/2020,1750,0.149,0.26075
719,C,8/14/2020,7300,0.125,0.9125
750,C,8/14/2020,2000,0.213,0.426
773,C,8/14/2020,8500,0.068,0.578
859,C,8/14/2020,8700,0.113,0.9831
1800,C,8/14/2020,4750,0.099,0.47025
2921,C,8/14/2020,2100,0.333,0.6993
3436,C,8/14/2020,5500,0.161,0.8855
349,C,8/31/2020,6000,0.37,2.22
379,C,8/31/2020,6250,0.331,2.06875
623,C,8/31/2020,6250,0.108,0.675
719,C,8/31/2020,5750,0.111,0.63825
750,C,8/31/2020,6300,0.082,0.5166
773,C,8/31/2020,5500,0.226,1.243
859,C,8/31/2020,5000,0.097,0.485
1800,C,8/31/2020,5750,0.045,0.25875
2921,C,8/31/2020,3500,0.008,0.028
3436,C,8/31/2020,5000,0.125,0.625
349,C,9/15/2020,3300,0.113,0.3729
379,C,9/15/2020,2500,0.317,0.7925
623,C,9/15/2020,6000,0.02,0.12
719,C,9/15/2020,5000,0.029,0.145
750,C,9/15/2020,4500,0.402,1.809
773,C,9/15/2020,5500,0.087,0.4785
859,C,9/15/2020,4000,0.242,0.968
1800,C,9/15/2020,4500,0.012,0.054
2921,C,9/15/2020,3700,0.053,0.1961
3436,C,9/15/2020,2700,0.018,0.0486
349,C,9/30/2020,3500,0.113,0.3955
379,C,9/30/2020,1800,0.221,0.3978
623,C,9/30/2020,3100,0.092,0.2852
719,C,9/30/2020,3500,0.061,0.2135
750,C,9/30/2020,3900,0.335,1.3065
773,C,9/30/2020,1700,0.096,0.1632
839,C,9/30/2020,5100,0.146,0.7446
1486,C,9/30/2020,5200,0.05,0.26
2921,C,9/30/2020,2600,0.058,0.1508
3436,C,9/30/2020,4900,0.032,0.1568
349,C,10/8/2020,4500,0.138,0.621
379,C,10/8/2020,5000,0.114,0.57
623,C,10/8/2020,5500,0.062,0.341
719,C,10/8/2020,5000,0.068,0.34
750,C,10/8/2020,4750,0.081,0.38475
773,C,10/8/2020,4200,0.034,0.1428
839,C,10/8/2020,4500,0.11,0.495
1486,C,10/8/2020,5700,0.017,0.0969
2921,C,10/8/2020,4200,0.061,0.2562
3436,C,10/8/2020,5200,0.028,0.1456
349,C,11/10/2020,6000,0.315,1.89
379,C,11/10/2020,4750,0.607,2.88325
623,C,11/10/2020,5500,0.268,1.474
719,C,11/10/2020,5200,0.319,1.6588
750,C,11/10/2020,5000,0.432,2.16
773,C,11/10/2020,5000,0.185,0.925
839,C,11/10/2020,4000,0.455,1.82
1486,C,11/10/2020,6600,0.057,0.3762
2921,C,11/10/2020,5750,0.275,1.58125
3436,C,11/10/2020,5750,0.155,0.89125
165,H. altissima,8/10/2020,8380,0.283,2.37154
319,H. altissima,8/10/2020,7130,0.118,0.84134
334,H. altissima,8/10/2020,8600,0.055,0.473
373,H. altissima,8/10/2020,8000,0.195,1.56
377,H. altissima,8/10/2020,8500,0.175,1.4875
384,H. altissima,8/10/2020,7980,0.657,5.24286
631,H. altissima,8/11/2020,8300,0.047,0.3901
681,H. altissima,8/10/2020,7850,0.154,1.2089
700,H. altissima,8/10/2020,7680,0.074,0.56832
1486,H. altissima,8/10/2020,7680,0.082,0.62976
165,H. altissima,8/14/2020,7000,0.243,1.701
319,H. altissima,NA,NA,NA,NA
334,H. altissima,8/14/2020,9000,0.531,4.779
373,H. altissima,8/14/2020,7500,0.279,2.0925
377,H. altissima,8/14/2020,6000,0.218,1.308
384,H. altissima,8/14/2020,6500,0.26,1.69
631,H. altissima,8/14/2020,8000,0.322,2.576
681,H. altissima,8/14/2020,7000,0.107,0.749
700,H. altissima,8/14/2020,3600,0.097,0.3492
1486,H. altissima,8/14/2020,8000,0.384,3.072
165,H. altissima,8/31/2020,6000,0.069,0.414
319,H. altissima,8/31/2020,5800,0.151,0.8758
334,H. altissima,8/31/2020,6000,0.163,0.978
373,H. altissima,8/31/2020,5800,0.157,0.9106
377,H. altissima,8/31/2020,3500,0.056,0.196
384,H. altissima,8/31/2020,5000,0.711,3.555
631,H. altissima,8/31/2020,6200,0.036,0.2232
681,H. altissima,8/31/2020,2650,0.041,0.10865
700,H. altissima,8/31/2020,7000,0.113,0.791
1486,H. altissima,8/31/2020,6000,0.191,1.146
165,H. altissima,9/15/2020,5500,0.01,0.055
319,H. altissima,9/15/2020,3500,0.115,0.4025
334,H. altissima,9/15/2020,5000,0.108,0.54
373,H. altissima,9/15/2020,6000,0.1,0.6
377,H. altissima,9/15/2020,2000,0.035,0.07
384,H. altissima,9/15/2020,3500,0.266,0.931
631,H. altissima,9/15/2020,3500,0,0
681,H. altissima,9/15/2020,3700,0.004,0.0148
700,H. altissima,9/15/2020,5800,0.12,0.696
1486,H. altissima,9/15/2020,5400,0.038,0.2052
165,H. altissima,9/30/2020,5400,0.351,1.8954
319,H. altissima,9/30/2020,2500,0.076,0.19
334,H. altissima,9/30/2020,1500,0.181,0.2715
373,H. altissima,9/30/2020,5300,0.083,0.4399
377,H. altissima,9/30/2020,2500,0.088,0.22
384,H. altissima,9/30/2020,3950,0.13,0.5135
631,H. altissima,9/30/2020,2250,0.102,0.2295
681,H. altissima,9/30/2020,2000,0.083,0.166
700,H. altissima,9/30/2020,4500,0.235,1.0575
1407,H. altissima,9/30/2020,5400,0.13,0.702
165,H. altissima,10/8/2020,5500,0.1,0.55
319,H. altissima,10/8/2020,4700,0.11,0.517
334,H. altissima,10/8/2020,5000,0.056,0.28
373,H. altissima,10/8/2020,5000,0.11,0.55
377,H. altissima,10/8/2020,5500,0.068,0.374
384,H. altissima,10/8/2020,4000,0.248,0.992
631,H. altissima,10/8/2020,4500,0.022,0.099
681,H. altissima,10/8/2020,4500,0.041,0.1845
700,H. altissima,10/8/2020,4000,0.172,0.688
1407,H. altissima,10/8/2020,5500,0.081,0.4455
165,H. altissima,11/10/2020,6000,0.441,2.646
319,H. altissima,11/10/2020,5500,0.22,1.21
334,H. altissima,11/10/2020,5900,0.344,2.0296
373,H. altissima,11/10/2020,6000,0.198,1.188
377,H. altissima,11/10/2020,6000,0.141,0.846
384,H. altissima,11/10/2020,3400,0.538,1.8292
631,H. altissima,11/10/2020,5000,0.129,0.645
681,H. altissima,11/10/2020,5000,0.276,1.38
700,H. altissima,11/10/2020,3600,0.27,0.972
1407,H. altissima,11/10/2020,5750,0.088,0.506
129,C. nlemfuensis,8/10/2020,8810,0.056,0.49336
318,C. nlemfuensis,NA,NA,NA,NA
323,C. nlemfuensis,8/10/2020,7870,0.162,1.27494
340,C. nlemfuensis,8/10/2020,8750,0.018,0.1575
355,C. nlemfuensis,8/11/2020,7150,0.082,0.5863
369,C. nlemfuensis,8/10/2020,7570,0.045,0.34065
437,C. nlemfuensis,8/10/2020,8700,0.109,0.9483
659,C. nlemfuensis,8/10/2020,8200,0.077,0.6314
722,C. nlemfuensis,8/10/2020,8250,0.08,0.66
765,C. nlemfuensis,8/10/2020,8250,0.096,0.792
129,C. nlemfuensis,8/14/2020,6250,0.164,1.025
318,C. nlemfuensis,8/14/2020,5200,0.074,0.3848
323,C. nlemfuensis,8/14/2020,7000,0.108,0.756
340,C. nlemfuensis,8/14/2020,6000,0.085,0.51
355,C. nlemfuensis,8/14/2020,5000,0.07,0.35
369,C. nlemfuensis,8/14/2020,6750,0.266,1.7955
437,C. nlemfuensis,8/14/2020,6000,0.136,0.816
659,C. nlemfuensis,8/14/2020,7000,0.285,1.995
722,C. nlemfuensis,8/14/2020,6250,0.078,0.4875
765,C. nlemfuensis,8/14/2020,6700,0.074,0.4958
129,C. nlemfuensis,8/31/2020,5750,0.049,0.28175
318,C. nlemfuensis,8/31/2020,2500,0.044,0.11
323,C. nlemfuensis,8/31/2020,3800,0.172,0.6536
340,C. nlemfuensis,8/31/2020,6000,0.113,0.678
355,C. nlemfuensis,8/31/2020,4500,0.047,0.2115
369,C. nlemfuensis,8/31/2020,6100,0.138,0.8418
437,C. nlemfuensis,8/31/2020,6000,0.257,1.542
659,C. nlemfuensis,8/31/2020,5750,0.123,0.70725
722,C. nlemfuensis,8/31/2020,7750,0.065,0.50375
765,C. nlemfuensis,8/31/2020,5000,0.089,0.445
129,C. nlemfuensis,9/15/2020,5750,0.004,0.023
318,C. nlemfuensis,9/15/2020,6300,0,0
323,C. nlemfuensis,9/15/2020,5500,0.001,0.0055
340,C. nlemfuensis,9/15/2020,6000,0.264,1.584
355,C. nlemfuensis,9/15/2020,3500,0.014,0.049
369,C. nlemfuensis,9/15/2020,1700,0.402,0.6834
437,C. nlemfuensis,9/15/2020,5000,0,0
659,C. nlemfuensis,9/15/2020,6000,0.025,0.15
722,C. nlemfuensis,9/15/2020,5750,0.001,0.00575
765,C. nlemfuensis,9/15/2020,3500,0.085,0.2975
129,C. nlemfuensis,9/30/2020,5400,0.046,0.2484
318,C. nlemfuensis,9/30/2020,4100,0.055,0.2255
323,C. nlemfuensis,9/30/2020,2400,0.076,0.1824
340,C. nlemfuensis,9/30/2020,5000,0.193,0.965
355,C. nlemfuensis,9/30/2020,4250,0.05,0.2125
369,C. nlemfuensis,9/30/2020,1200,0.138,0.1656
437,C. nlemfuensis,9/30/2020,2700,0.051,0.1377
659,C. nlemfuensis,9/30/2020,2100,0.097,0.2037
722,C. nlemfuensis,9/30/2020,5400,0.053,0.2862
765,C. nlemfuensis,9/30/2020,2900,0.074,0.2146
129,C. nlemfuensis,10/8/2020,4500,0.035,0.1575
318,C. nlemfuensis,10/8/2020,5200,0.044,0.2288
323,C. nlemfuensis,10/8/2020,4700,0.106,0.4982
340,C. nlemfuensis,10/8/2020,5000,0.246,1.23
355,C. nlemfuensis,10/8/2020,4500,0.063,0.2835
369,C. nlemfuensis,10/8/2020,4600,0.136,0.6256
437,C. nlemfuensis,10/8/2020,4000,0.049,0.196
659,C. nlemfuensis,10/8/2020,4500,0.06,0.27
722,C. nlemfuensis,10/8/2020,5500,0.038,0.209
765,C. nlemfuensis,10/8/2020,4500,0.065,0.2925
129,C. nlemfuensis,11/10/2020,5900,0.235,1.3865
318,C. nlemfuensis,11/10/2020,6000,0.314,1.884
323,C. nlemfuensis,11/10/2020,5500,0.157,0.8635
340,C. nlemfuensis,11/10/2020,5450,0.331,1.80395
355,C. nlemfuensis,11/10/2020,5750,0.216,1.242
369,C. nlemfuensis,11/10/2020,5000,0.164,0.82
437,C. nlemfuensis,11/10/2020,5750,0.099,0.56925
659,C. nlemfuensis,11/10/2020,4500,0.223,1.0035
722,C. nlemfuensis,11/10/2020,5000,0.119,0.595
765,C. nlemfuensis,11/10/2020,5600,0.153,0.8568
